"","name","image","reviewCount","rating","publishedDate","respondDate","verifiedOrder","title","content","reply","contentLength"
"21","Ark Pl","https://user-images.trustpilot.com/4e2a0efc00006400010a56ae/73x73.png",10,NA,2019-11-13,2019-11-13,TRUE,"instant updates, easy app, clear budgeting virtual bank, eager for success 👍","Clear rules, quick application, handy app to manage finances with instant transactions update and notification, good and flexible overdraft options, very good choice for digital budget management 👍","Hi there, thanks so much for the detailed five-stars review! Our customers' feedback is very important  for us and we are pleased to hear that our app's features have proved to be useful to you. Many thanks again. Team Starling.",197
"22","Kieran Howard",NA,1,NA,2019-11-13,2019-11-13,TRUE,"Perfect bank and optimised app.","Other than rare transactional failures, Starling is perfect.","Hi Kieran, thanks for your feedback. We understand that transaction issues can really impact our customers and we always work hard to minimise this for you. If you need any help, we're here 24/7. https://www.starlingbank.com/contact/. Team Starling",60
"23","Alex Rees",NA,1,NA,2019-11-13,2019-11-13,FALSE,"Good App","Good App, Easy to Navigate, So Satisfying When You Send Money And it Leaves Your Bubble and Goes to Your Senders Bubble. Only Reason for 4 Star is 15 Minute Hold Time on Customer Services Call.","Hi Alex, thanks for your feedback - we really appreciate it! It is great to hear the navigation is working well , but we're sorry about the call waiting time.  We'll pass on your feedback around this to the Customer Service team for you. Many thanks. Team Starling.",193
"24","Pamela Carroll",NA,1,NA,2019-11-13,2019-11-13,TRUE,"As a teghnophobeb I’m managing to use…","As a teghnophobeb I’m managing to use it!!","Hi Pamela, thanks a lot for your four-stars review. Our aim is to offer the same ease and lack of hassle to all our customers and we are glad to hear that this was the case with you. Many thanks again. Team Starling.",42
"25","Georgeta Decu",NA,1,NA,2019-11-13,2019-11-13,TRUE,"excellent bank","excellent bank","Hi Georgeta, thanks so much for your excellent five-stars review, we are really happy to hear this. Team Starling.",14
"26","Simon France",NA,1,NA,2019-11-12,2019-11-13,TRUE,"Super service everything is so easy to…","Super service everything is so easy to do so intuitive. Only thing I would say and is very minor is to have a different colour card for joint account to make it easier to spot in your wallet.","Hi Simon, thanks so much for your super five-stars review. We are pleased to hear that you have had such a positive customer experience, and while we do not have similar plans for what concerns the colour of the joint account cards we would like to thank you for the feedback and we will share updates through our social media channels if this will change in the future. Many thanks again. Team Starling.",191
"27","Mod John","https://user-images.trustpilot.com/5489ec7600006400019cd589/73x73.png",5,NA,2019-11-12,2019-11-12,FALSE,"So impressed I move my business over too","Application process on personal was simple and quick. Card worked via Google Pay and using the details provided in app before the card arrived so was able to use it right away. Card followed within 24 hours in the post. Customer service has always been easy to access and helpful. I was so impressed I moved my whole business account to them.","Hi Mod,Thanks for your five-star review! We're so glad to have you on board. Team Starling",342
"28","Stephen Roberts",NA,1,NA,2019-11-12,2019-11-12,TRUE,"I would like to open a savings account…","I would like to open a savings account but you don’t offer this service at this time","Hi Stephen,Thanks for your feedback. We can confirm that whilst we don't have savings accounts specifically, you can use the goals in the spaces section of the app to save towards anything you like.You can read more information here: https://help.starlingbank.com/hc/en-us/articles/360009988639-Does-Starling-offer-a-savings-account- Thanks,Team Starling",84
"29","Anna",NA,2,NA,2019-11-12,2019-11-12,TRUE,"I love the simplicity of the app BUT…","I love the simplicity of the app and how quick and easy it is to manage your money using it. The only snag I've found is that when my phone broke and I had to use a backup mobile it was not as simple as downloading the app and signing in while my phone was being fixed.I know you are working hard to bring online banking to the non business customers so maybe in the future it will not be an issue but I found it very difficult to manage whilst the mobile was being fixed.","Hi Anna,We really appreciate your feedback around this and we're sorry you were inconvenienced. If your number changes we do just need to update it this end before you can get back in the app. Watch this space for personal banking online!Thanks,Team Starling",472
"30","Nicola Balderston",NA,1,NA,2019-11-12,NA,TRUE,"Very fast and afficentI would recommend to anyone","Very fast and afficent, easy to use. A low interest credit card would be great",NA,78
"31","Robb M",NA,10,NA,2019-11-12,2019-11-12,FALSE,"Should have been great. Its been a nightmare","Should have been great. Unfortunately, Its been a nightmare from the start. Support is poor and slow. Unable to access my moneyCausing businesses major issues with cash flow.","Hi Robb,We're really sorry to hear this and we'd like to look into it further for you. Can you get in touch by emailing help@starlingbank.com from your registered email address, or send an in-app message, with the reference reviews-70153. We'll then look at this as soon as possible for you.Thanks,Team Starling",174
"32","Bridget Pearson",NA,1,NA,2019-11-12,2019-11-12,TRUE,"Absolutely love this bank","Absolutely love this bank. Can't recommend it enough. It's so easy to use and made looking at finances a manageable thing for someone like me who finds numbers confusing. I love the notes element of it, ""settle up"" and the ease of access.","Hi Bridget,Great to hear that we’ve managed to wrangle those pesky numbers for you into an easy way to deal with your finances!We’re also big fans of Settle Up making it easy to get paid back quickly and easily. Team Starling",238
"33","Mohamed El Sheikh",NA,1,NA,2019-11-12,NA,TRUE,"smooth","smooth using",NA,12
"34","Mohamed iftikhar  Ahmed",NA,1,NA,2019-11-12,2019-11-12,TRUE,"Excellent service and easy to set up…","Excellent service and easy to set up and use. You get information about spending straight away when you deposit,withdrawal and spend.","Hi Mohamed,Glad to hear you’re liking the app! We love the instant notifications as well, making it easy to keep track of your money. We’re always looking for more ways to improve, so do let us know if you have any further feedback. Team Starling",133
"35","Jemma",NA,9,NA,2019-11-12,NA,TRUE,"Love it","Love it! The instant updates are amazing & a total hassle free account ... perfect",NA,82
"36","Robert Cairns",NA,2,NA,2019-11-12,2019-11-12,FALSE,"If you are a business doing securities…","If you are a business doing securities dealing on your own account don't waste your time. The dropdown in the app doesn't  cover it and the helpdesk doesn't know how to deal with it. God help us small people that just want to trade stocks and bonds","Hi Robert,Thanks for getting in in touch.We’re sorry to hear of the issues you’ve had setting up your account.Unfortunately due to the type of business you have outlined we’re unable to support this as per our terms and conditions for our business bank account which can be viewed here - https://www.starlingbank.com/docs/Account-Schedule-BCA-Multi-and-Sole.pdfIf there’s anything else we can help you with don’t hesitate to get in touch.Thanks,Team Starling",248
"37","Jackpot.com",NA,4,NA,2019-11-12,NA,FALSE,"I love","I love, this online banking app, is the best, thanks for your hard work",NA,71
"38","Fiona",NA,2,NA,2019-11-11,2019-11-11,TRUE,"I adore my Starling bank account","I adore my Starling bank account. Instant notification of money in or out means I know instantly if there is any tampering. Also really liked the ease of use while abroad. Current exchange rate with no extra charges and notification of spending in local currency and pounds/pence. I am a digital money convert.","Hi Fiona,That's great to hear! Glad you like the notifications and the card worked abroad so well. We believe that banking should be easy and stress-free, and we're pleased to know you're happy with your Starling experience.Thanks,Team Starling",310
"39","Sarah Edwards",NA,1,NA,2019-11-11,2019-11-11,TRUE,"Really user friendly app","Really user friendly app. Perfect for managing finances. Only wish would be for an under-16s account as well.","Hi Sarah,We're really glad you're enjoying the app! We're not working on anything around junior accounts for now but this might change in the future.Team Starling",109
"40","Jonathan Williams",NA,1,NA,2019-11-11,2019-11-11,TRUE,"Great service.","Great service.","Hi Jonathan, thanks a lot for your five-stars review. We are glad to hear that you are so happy with our customer service. Many thanks again. Team Starling.",14
"41","Anon",NA,1,NA,2019-11-11,2019-11-11,TRUE,"Personal Starling Account","I opened an account with Starling as I spent the summer in the US. I had no issues at all using my card and app over there and continue to use the account back home in the UK. The app and notifications make keeping track of my spending so much easier. Overall great experience!","Hi there, this is great to hear! Thanks so much for the feedback - we're glad the card worked smoothly abroad and that it's helping you to keep track of spending! Many thanks again. Team Starling",277
"42","Said Chaouachi",NA,1,NA,2019-11-11,2019-11-11,TRUE,"Good job","Good job I use thes bank , it's best in uk.","Hi Said, thanks so much for your five-stars review, we are very pleased to hear this and really glad to have you on board! Many thanks again. Team Starling.",43
"43","Cammy Meintjes",NA,1,NA,2019-11-11,2019-11-11,TRUE,"Fantastic Customer Service!","I am fairly new to Starling and so far the customer service I have received has been outstanding. All my questions have been answered quickly and efficiently. And for once, I don't feel like I am talking to a robot. So far my experience has been great, even though I am still finding my feet with the account and I am in the process of switching all my accounts over. I hope the great service continues as Starling grows!","Hi Cammy,Glad to hear your experience with Starling and our customer services team so far has been excellent. We’re proud of our UK based support team, no robots here! If you do need any assistance with Starling, do let us know and we’ll be happy to help.Team Starling",421
"44","David Barlow","https://user-images.trustpilot.com/5dc861576de4f5d1d3671548/73x73.png",1,NA,2019-11-10,NA,FALSE,"New fresh and great banking","I have kept my eye on Starling since they came into being So after regularly reading reviews and places like which and money expert sites too So I have been looking for a bank that is fair with overseas charges , as I spend over half the year living , working and travelling abroad!So I have a nationwide and metro accounts , but the none oversea charges and always top reviews made it a simple decision  to open an account.Excellent service and vety easy and straightforward process , with very regular updates about the pin and card delivery time!Once the account was set up , not to long and I had everything and fully up and running.4 months later extremely happy with everything to do with Starling,  clear concise and transparent with all aspects , the online app is super easy and very sercure with instant updates on any transactionsfully accurate and just a pleasure to use!Added pluses are I can buy products in a different country and currency with Starling doing all the work and upto date transaction rate.Now I am working back in Finland and my drive up here was hugely helped by having my Starling account.So very happy , no aspect I do not like , I would  (have) actively recommend this bank to people!So to anyone wanting a different,  open and transparent bank",NA,1278
"45","Jason Porthouse",NA,1,NA,2019-11-10,NA,TRUE,"A new way of banking","So far, so good. The app is intuitive and easy, the functionality is there. Opening a joint account with my partner took seconds... the fact my money is secure isa big bonus. Time will tell if day-to-day use proves as effortless but the signs are good...",NA,254
"46","EMMA CLAYTON",NA,6,NA,2019-11-10,2019-11-10,FALSE,"All smoke and mirrors - not a bank!","I was so excited to transfer all my personal and business accounts over and the app experience is really great. HOWEVER once you start to actually use the account for banking (after all they are a bank!) the wheels start to fall off.You cant pay any bills over the sum of £25,000 and that's in total!I am not sure how they expect businesses to operate on this basis.They say that you can increase this for one time but if you have to do this for each payment schedule this is grossly inefficient and isn't customer friendly WHATSOEVER.And if you do send in all the payments you want to make you have to do this EVERY TIME!Oh and best one is that this still isn't immediate as the team that approve this (funny how someone has to approve you using your own money to pay bills!) as they only work Mon to Friday - this really is appalling customer service and isn't disruptive in any way whatsoeverIt started out really great Starling but i am afraid it is all smoke and mirrors and the actual banking side makes you a very poor version of a bank.Add to this the poor customer service - my 11 year old daughter said they guy we spoke to sounded ""totally bored!"" and he get dropping all his ""t""s which was dreadful to listen to. Surely you can get some more professional people handling your call centre?!I wont be continuing with my switching of accounts after all - one big epic fail! Utterly diappointing!","Hi Emma, we're sorry to hear of your disappointment with Starling.We have lots of business customers who find our £25,000 limit is suitable, and that the process to send large, ad hoc payments is easy. The payments needs to be authorised by a different team as we are a regulated bank, and it is our duty to look out for our customers and ourselves, ensuring we are providing a secure banking experience. We're sorry if our services don't suit your needs right now.Thank you for your feedback regarding our customer service. We trust our agents to look after our customers, but will pass your thoughts on to our team.Thank you,Team Starling",1404
"47","Darren",NA,4,NA,2019-11-10,NA,TRUE,"Love this bank","Love this bank",NA,14
"48","Pierre",NA,1,NA,2019-11-10,2019-11-11,TRUE,"Good and reliable - almost the best","Love the speed of money transfer.Love the integration with Samsung pay.Love the ability to switch between euro and pounds.However :Would love to have the spendings summary on the main page of the app.Would love to be able to generate digital receipts for expenses.Would love to be able to automate currency exchange, to take advantage of the rates.","Hi Pierre,Great to see that you’re enjoying the many benefits of the Starling app. I’ve passed your feedback in regards to the spending summary and digital receipts onto our product team. If you have any further feedback please don’t hesitate to let us know.Team Starling",348
"49","Sgohil",NA,2,NA,2019-11-10,2019-11-11,TRUE,"I am not a technical minded person","I am not a technical minded person, the starling account is one of the easiest banking i have used.  The app is simple and easy to use and follow.I can track my account with ease and i get the best rates when i use my card abroad.","Hi Sgohil,Thanks for your review. Here at Starling, we believe that banking should be easy and stress-free!Thanks,Team Starling.",230
"50","Andrea",NA,9,NA,2019-11-10,2019-11-11,FALSE,"Definitely one of the best…","Definitely one of the best challenger/online only banks. It’s for grown ups unlike some other new banks the bank in geared towards an adult crowd whom want features over flash and glitter. Offers Apple, Google, FitBit, Garmin, and Samsung pay. Offers business and joint accounts. App is good, support is reasonable and properly the best.Small amount of interest which is good better then it just sitting there.BUT be warned they may do a Hard credit search, they did one when I opened an account when they first start this is when they didn’t have a lending license! It appears on my records as £0 credit limit, the impact on my rating probably is not effected my score but still think this is wrong. NO OTHER bank has done this. Would of been 5 stars But because of this it would of been 2 stars, however decided 4 stars because new customers will probably have a much better experience knowing the above.","Hi Andrea,Thanks for your feedback. This doesn't sound right. We only conduct a soft credit check when you open an account, and if you are accepted for a credit lending limit such as overdraft or loan, that's when a hard search comes into play. You can read more about it here: https://www.starlingbank.com/blog/improve-your-credit-score/Feel free to get in touch with our customer service team, and we'll be able to help. https://www.starlingbank.com/contact/Thanks,Team Starling.",906
"51","Darren Smith",NA,2,NA,2019-11-10,2019-11-11,FALSE,"Joined starling after being let down by…","Joined starling after being let down by poor customer service at monzo. Starling was easy to set up, instant notification posts. Ideal for every day use. Can't fault starling. Definitely worth joining","Hi Darren,Thanks for your review. We're sorry to hear about your experience, but our team is always here for you 24/7, and we try to be as responsive as possible. Our customers are our number one priority! If ever in need, contact our team, and we'll be happy to help. https://www.starlingbank.com/contact/ Thanks,Team Starling.",200
"52","Peter Eccleston",NA,6,NA,2019-11-10,2019-11-11,TRUE,"Great bank accounts, no reason not to get one","The best online account. Easy to join, setup personal and joint accounts. Cards arrived very quickly. IOS app is intuitive and very easy to use. the benefits of using your card abroad are a compelling reason to join. I really the notification you get on your iPhone / Apple Watch each time you make a transaction.","Hi Peter,Thanks for your review. We're happy to know that you're enjoying banking with us. Instant notifications are the best way to keep a real-time control of your spendings. Thanks,Team Starling.",313
"53","Janette Dea",NA,1,NA,2019-11-10,2019-11-10,TRUE,"Best thing I ever did was to get a…","Best thing I ever did was to get a starling bank account","Hi Janette, thanks a lot for your five-stars review, we really appreciate and we are pleased to hear that you are so happy with your customer experience. Many thanks again. Team Starling.",56
"54","Mrs Twyford",NA,4,NA,2019-11-10,2019-11-10,TRUE,"Love it","Love it. Reassuring to know you get  a message as soon as you spend money, so you always know your balance. Also interest is always a plus","Hi there, we are so pleased to hear that you are so happy with our instant notifications and interest rates. Our customers feedback is very important for us and we are really thankful for your five-stars review. Thanks again. Team Starling.",138
"55","Kevin Irvine",NA,1,NA,2019-11-10,2019-11-10,TRUE,"Just recently returned from a holiday…","Just recently returned from a holiday of a lifetime. Apart from from taking a bit of foreign currency for emergencies everything else was done using your debit card. Having the ability of drawing cash and real time control of our budget was fantastic. Thank you Starling Bank for contributing to our experience.","Hi Kevin, we are glad to hear that your teal card served you well during your holiday. We are glad to hear that we have contributed to your great experience and extremely thankful for your five-stars review. Many thanks again. Team Starling.",311
"56","Daniel Hill",NA,2,NA,2019-11-10,2019-11-10,FALSE,"DO NOT USE THIS BANK if you are…","DO NOT USE THIS BANK if you are expecting the same service - or anywhere near the same as a 'proper bank' they have NO communication skills. You can call, but the phone never gets picked up, you can email but you never get a reply and you can 'live chat' with a moron who probably knows nothing about your problem and say the same thing over an over again. I've waited WEEKS for a reply to my problem. A word to the wise - SERIOUSLY consider using alternate platforms rather than 'a new generation' bank. Or at least this company !!","Hi Daniel, we're sorry to hear you haven't received the best service from Starling. Our customers are important to us, and we do want to make sure you're looked after. We also value our employees, and trust that they are doing a good job helping our customers.However, we understand we might not alway get it right, and we welcome feedback. If you would like to give your feedback, and also give us a chance to resolve your query, please email us at help@starlingbank.com with the reference Reviews- 70145.We will pick this up directly and look into it for you.Thanks,Team Starling",532
"57","Shrita Lakhani",NA,1,NA,2019-11-09,2019-11-10,FALSE,"Good bank, but hopeless if you have a problem.","Had an issue with a current account switch, and so rang customer service. It took multiple phonecalls and speaking to several different people before I got to the bottom of the issue. Very stressful and an unnecessary waste of time. I decided to complain about how badly the issue was dealt with. Starling offered to call me to discuss the issue and this would have been great, but they only offered times between 11am-4pm. I work full time and so the times were inconvenient. I asked if Starling could call me after work or at weekends and instead got a message to say they had made a decision on my complaint without even discussing it with me. Even though they offered to discuss it with me before making a decision. To make matters worse, they completely missed the point of my complaint and despite multiple paragraphs, only half a sentence addressed the issue. I rang Starling to ask if I could speak to the complaints department about the issue. But nothing is simple with: I couldn't be put through to the complaints department at that time (a weekday afternoon) and instead had to arrange another time to speak about it. Eventually I did speak to them, but only to receive a message to say, ""they do not feel any compensation was due."" What a waste of time! Have decided to leave Starling and just want to warn everyone that Starling is great when everything is fine, but don't expect much when things go wrong. Keep Clear.","Hi Shrita, thank you for taking the time to leave your review.We're sorry to hear of your experience, and that you had to chase our team to get a resolution. Our customers are very important to us and we try our best to help as quickly as we can. We're sorry this was not the case in this instance.We understand our complaints team has been in touch to let you know your next steps. If you need anything else from us, please just give us a call.Thanks,Team Starling",1432
"58","Louis Godefroy",NA,1,NA,2019-11-09,NA,TRUE,"The best bank around","The best bank around. Shows payments instantly, helps manage your money and assists you with saving",NA,99
"59","Philip Holmes",NA,25,NA,2019-11-09,2019-11-09,FALSE,"I researched extensively and chose…","I researched extensively and chose Starling Bank.... Best choice ever.Before our trip to South America, I researched the options for digital banks, which are the most ATM friendly, with lowest cost.Not only does Starling excel in all these areas, but it’s real time reporting, friendly security systems and customer interfaces, continue to exceed my expectations.","Thanks, Philip.Winning! We very much appreciate your feedback and glad that you are enjoying our service. We hope to introduce even more features to help you manage your money better - stay tuned for updates!Team Starling",363
"60","Beryl  Watson Storey",NA,1,NA,2019-11-09,NA,TRUE,"Just the best bank by far","Just the best bank by far",NA,25
"61","Laimonas",NA,5,NA,2019-11-09,NA,TRUE,"So far so good","So far so good, nice app, nice card it self .. I love it",NA,56
"62","Alexandra Boil",NA,1,NA,2019-11-09,NA,TRUE,"Banking has never been so easy and look…","Banking has never been so easy and look better. Great work Team Starling!",NA,73
"63","JulesM",NA,1,NA,2019-11-09,2019-11-09,TRUE,"Great bank","I like the app, the ease of use and the euro account has made it very useful for me. I’d like to be able to use apple pay for in app purchases but this function seems to have disappeared recently.","Hi Jules,Many thanks for your feedback! Regarding the issue you’re experiencing, can you check your starling card is added to Apple Wallet?Team Starling",196
"64","Catherine Gordon",NA,1,NA,2019-11-09,NA,TRUE,"Immediate feedback and contact…","Immediate feedback and contact availability. Instance notifications of payments. Super app!",NA,91
"65","Barry Jackson",NA,2,NA,2019-11-09,2019-11-09,TRUE,"Simple, Honest banking at it's best!","The experience with Starling has been incredible. The app is such a fantastic way to bank, very easy to navigate. The care they put into showing trends of expenditure and managing money is truly excellent. The best modern day bank by far. My only real criticism would be offer more explanation over account creation and specifically around format of pictures so that customers can get things correct first time for the bank and for the betterment of customer experience.","Hi Barry,Glad you're enjoying the Starling experience! And thanks for your feedback around the application process - we'll pass this on to our team. This is definitely something we could consider.Team Starling",470
"66","James Bay",NA,1,NA,2019-11-09,NA,TRUE,"Great for budgeting and switching currencies","Great if you’re travelling or living in Europe as you can use multiple currencies at the tap of a button. Transfers are instantaneous and a great way to budget if you want to manage your primary accounts.",NA,204
"67","Matthew",NA,1,NA,2019-11-09,2019-11-10,TRUE,"Great Bank with an amazing app.","Great Bank with an amazing app.","Hi Matthew, many thanks for your great five-stars review, we really appreciate your support and we are happy to know that you are so pleased with the app. Thanks again. Team Starling.",31
