"","name","image","reviewCount","rating","publishedDate","respondDate","verifiedOrder","title","content","reply","contentLength"
"14","s greenaway",NA,2,NA,2019-11-13,NA,TRUE,"Absolutely love my Monzo account it’s…","Absolutely love my Monzo account it’s made me so much better at being on top of my spending.  App still needs a few tweaks before it’s perfect but in the meantime it’s fab.",NA,172
"15","Miss. JULIETTE HORTON",NA,2,NA,2019-11-13,NA,TRUE,"Very easy to sign up","Very easy to sign up, has taken me a while to navigate the app properly, probably cos I’m older!?",NA,97
"16","Alicia Rochler",NA,1,NA,2019-11-13,NA,TRUE,"Easy to use","Easy to use, chat feature is very helpful",NA,41
"17","Jayne Andrews",NA,1,NA,2019-11-13,NA,TRUE,"Great customer services","Great customer services , fantastic app",NA,39
"18","Tom",NA,1,NA,2019-11-13,NA,TRUE,"Great app","Great app! Been using for over a year now and it is better than any bank.",NA,73
"19","Anton Karim",NA,1,NA,2019-11-13,NA,TRUE,"One of the best banks around !","One of the best banks around !",NA,30
"20","Sue Peel",NA,2,NA,2019-11-13,NA,TRUE,"Monzo keeps me up to date with all my…","Monzo keeps me up to date with all my payments in and out of my account almost immediately.",NA,91
"21","Karrine Kousse","https://user-images.trustpilot.com/5dcc1386e71f337d1a09cac5/73x73.png",8,NA,2019-11-13,NA,FALSE,"Simply The Best","The best bank by far! Amazing app, amazing and unique features, exceptional service every time. I can’t recommend you enough.",NA,125
"22","Mr Carrington",NA,1,NA,2019-11-13,NA,TRUE,"Rlly great","Just a really clever app, which makes banking easy!",NA,51
"23","George Higgins",NA,1,NA,2019-11-13,NA,TRUE,"Pukka","Great service be good to be able to use iban and swift code though.",NA,67
"24","Hannah Hughes",NA,5,NA,2019-11-13,NA,TRUE,"Easy to use","Easy to use, great to manage cash in real time",NA,46
"25","Pareice Hassan-Wright",NA,2,NA,2019-11-13,NA,TRUE,"Best bank I’ve been with in a good few…","Best bank I’ve been with in a good few years very helpful easy to manage would highly recommend",NA,95
"26","Es",NA,1,NA,2019-11-13,NA,TRUE,"Start up bank","It's a really great ""start up"" bank. Made my life so easy and  it's so easy sort out everything in the palm of my hand.",NA,119
"27","Adam Blennerhassett",NA,1,NA,2019-11-13,NA,TRUE,"Great company as they respond quickly…","Great company as they respond quickly to questions, problems and most importantly fraud.",NA,88
"28","Ross Brood",NA,1,NA,2019-11-13,NA,TRUE,"Monzo is just the best bank,","Monzo is just the best bank,",NA,28
"29","Mimi",NA,1,NA,2019-11-13,NA,TRUE,"I honestly cannot fault Monzo.","I honestly cannot fault Monzo, they are amazing in every aspect. Customer service is miles above others prompt and amazing. The notifications has helped me on many occasions when money is taken out of my account that I had forgot to cancel which allows me to act quickly and get my money back.",NA,293
"30","MR AERSON JAIME",NA,2,NA,2019-11-13,NA,TRUE,"Best bank ever","Best bank ever",NA,14
"31","Gita Chauhan",NA,4,NA,2019-11-12,NA,TRUE,"Excellent when you go abroad","Excellent when you go abroad. Queries answered with efficiency!",NA,63
"32","Marie Fortune-O'Keeffe",NA,1,NA,2019-11-12,NA,TRUE,"My card has been blocked","My card has been blocked, I can't find out why and have difficulty accessing my money.",NA,86
"33","Majorkeeper",NA,1,NA,2019-11-12,NA,TRUE,"Monzo","Very easy to use, great banking app, I wasn’t sure on it at first but I’ve been using it for a few months now and I’m very pleased with it! Highly recommend.",NA,157
"34","Gary",NA,1,NA,2019-11-12,NA,TRUE,"Monzo is great easy and simple","Monzo is great easy and simple no bs",NA,36
"35","Dom",NA,7,NA,2019-11-12,NA,FALSE,"Very happy with Monzo so far","Very happy with Monzo so far. I've used it for my disposable spending money as opposed to a full current account switch with direct debits for bills. So, card payments and ATM Withdrawals in and out of the UK.Positives:Clear, easy to use APPResponsive chat supportEasy account opening processFee-free non-GBP spendsA clear statement Useful tools for budgeting and savingMobile alert with each spendAvailable balance immediately updated even with Contactless payments (my other banks won't do this)Negatives :none so far.I would like to see some more choice on the saving and investment sweeps but I haven't looked seriously into using these yet anyway. My main bank account offers more competitive savings rates.",NA,712
"36","Will",NA,2,NA,2019-11-12,NA,TRUE,"It’s the shizzle!!!","Just amazing. Can’t ask for anything more. Customer service is second to none. Vote for Monzo!!!",NA,96
"37","lisa shaw",NA,2,NA,2019-11-12,NA,TRUE,"What’s not to like?","What’s not to like?Payments come through instantly. Information is nice and clear. You can section out payments into headings to see how to manage your money best. Highly recommend Monzo!",NA,187
"38","Shaun Bradbury",NA,1,NA,2019-11-12,NA,TRUE,"Good service","Good service",NA,12
"39","Stephen Stanley",NA,2,NA,2019-11-12,NA,TRUE,"Everything you want in a money handling…","Everything you want in a money handling app! Such usefulness hidden in all its features that none of the traditional banks are even thinking of.Money pots, expense tagging to keep track of where budgeting is needed, quick reply chats should you have an issue, although it's unlikely you'll have any 😎",NA,300
"40","Selin",NA,1,NA,2019-11-12,NA,FALSE,"Emma at Monzo just helped me out a…","Emma at Monzo just helped me out a great deal and was so patient and understanding. Great experience :)",NA,103
"41","Alessandra Amendola",NA,1,NA,2019-11-12,NA,TRUE,"Best bank ever","Best bank ever! The app is easy and smart! The best I have ever tried!",NA,70
"42","Paul",NA,23,NA,2019-11-12,NA,TRUE,"I have mixed feelings about monzo.","I have mixed feelings about monzo.. was great right up to the point when they blocked my account... my money has been returned and they have apologised with compensation...I will start to use the account again but I would be a liar to say I was not wary",NA,253
"43","Letitia Warren",NA,1,NA,2019-11-12,NA,TRUE,"Brilliant account","Brilliant account. Quick refunds, paid earlier if paid by bacs. Secure. Brilliant customer service both on the phone and the in app chat. Money spent comes straight off ur account so u know exactly what u have left in the account. Best bank I've used",NA,250
"44","Dominic",NA,2,NA,2019-11-12,NA,TRUE,"Very user friendly and a great way to","Very user friendly and a great way toManage your money , by far the best internet bank around , Tom Bloomfield is a genius",NA,122
"45","Michelle Sullivan",NA,1,NA,2019-11-12,NA,TRUE,"Great service","Well recommended",NA,16
"46","Siobhan",NA,2,NA,2019-11-12,NA,TRUE,"Fantastic","Fantastic. Great to be with.",NA,28
"47","Simon j",NA,1,NA,2019-11-12,NA,TRUE,"Love monzo","Love monzo. Easy to use any issues I can speak to someone quickly.",NA,66
"48","Elga Saragih",NA,1,NA,2019-11-12,NA,TRUE,"The Best Bank Ever !!!","The Best Bank Ever !!!",NA,22
"49","Roger",NA,2,NA,2019-11-12,NA,TRUE,"Just amazing!","Just amazing!Easy use, you are always in control, notifications of spends, track by map of where you spent (good for weird names that you don't recognise). I really enjoy it.",NA,174
"50","James Adams",NA,4,NA,2019-11-12,NA,TRUE,"Absolutely amazing app","Absolutely amazing app - changed my spending and finances for the better.  Weirdly it’s so much fun as well!",NA,108
"51","louise",NA,2,NA,2019-11-12,NA,TRUE,"Very good","Really easy to use.",NA,19
"52","TheUnforgiven666",NA,5,NA,2019-11-11,NA,FALSE,"More modern than other banks but will screw you over all the same.","Pros: a very good app with a lot of instant spend information, vendor details, the ability to pay abroad with no currency fee.Cons: exchange rate settling is a bit random... they seem to wait for a very variable amount of days to settle transactions... so much that transactions over a week old haven’t settled while more recent ones have. Some weird transactions and refunds... and confusing information about them. The worst: don’t ever use Monzo to pay deposits for hotels or car rentals as they take it off your balance - kinda normal although not traditional - but worse is they don’t refund deposits before 30 days and if you want it earlier, you have to provide all sorts of evidence. Well, fact is with express check outs, you don’t always get an invoice... yet they seem stuck in a world when you get a final receipt for the transaction and it’s ok to block large amounts of money for such long periods of time. It’s shocking! Money must be running through Wall Street and company during 30 days so they can make up for having no currency fees. Customer service chat is full of BS.",NA,1090
"53","Yas",NA,1,NA,2019-11-11,NA,TRUE,"Love monzo and the app","Love monzo and the app. Fast easy and clear. Wouldn’t change banking at all!! Thank you",NA,87
"54","Kristian",NA,2,NA,2019-11-11,NA,TRUE,"Intelligent common sense banking","Intelligent common sense banking, finally:), great job guys!",NA,60
"55","Katie Rose",NA,1,NA,2019-11-11,NA,TRUE,"Genuinely love monzo","Genuinely love monzo, very happy with the service they offer- very user friendly & much better than a bank! No complaints :)",NA,124
"56","Petru Bita",NA,2,NA,2019-11-11,NA,TRUE,"Good experience","Good experience. Customer support need to be improved.",NA,54
"57","Michael Oshea",NA,1,NA,2019-11-11,NA,TRUE,"Handy easy to set up","Handy easy to set up",NA,20
"58","P Noble",NA,2,NA,2019-11-11,NA,TRUE,"Flexibility is the secret.","I was introduced to Monzo by my son last year and have been really pleased with it and the flexibility it offers. It's particularly useful when travelling:I top up in sterling and spend in euros, at a competitive rate rather than rip off tourist rates. There are no usage charges for standard transactions either. In the event of me withdrawing more cash than I'm allowed there would be charges, which seems fair enough. I've recommended this brilliant service to everyone I think could use it. It's not my main bank... yet.",NA,524
"59","Frank Castle-Bank Punisher","https://user-images.trustpilot.com/56e6b8a70000ff000a0e8d6e/73x73.png",21,NA,2019-11-11,NA,NA,"Praesent nec erat convallis","Lorem ipsum dolor sit amet, consectetur adipiscing elit.",NA,56
"60","adam peart",NA,2,NA,2019-11-11,NA,TRUE,"I enjoy Monzo but the new banking app…","I enjoy Monzo but the new banking app is rubbish since the update recently",NA,74
"61","Alfie Vaughan",NA,1,NA,2019-11-11,NA,TRUE,"Best banking app I’ve used.","Best banking app I’ve used.",NA,27
"62","Ivor Bourne",NA,1,NA,2019-11-11,NA,TRUE,"Simply better than main stream banks by…","Simply better than main stream banks by far.  From account switching to problem resolution, dealt with in a polite and timely manner",NA,132
"63","Ashton",NA,1,NA,2019-11-11,NA,TRUE,"Great","Great, absolutely fantastic",NA,27
"64","CustomerKaren Cartwright",NA,2,NA,2019-11-11,2019-11-11,TRUE,"Not easy to navigate and it's hard to…","Not easy to navigate and it's hard to find your actual balance.","Hi there, we're sorry to hear you're having trouble with the new layout. We'd love to hear what we can do to make it easier to navigate, so please drop us a message through the in-app chat and we'll see if we can do anything to help (or just help you find what you're looking for!)",63
"65","Michael Serrao",NA,1,NA,2019-11-11,NA,TRUE,"Great bank!","Great bank! Very secure and customer support is super helpful. Would recommend.",NA,79
"66","Daniel Halliday",NA,1,NA,2019-11-11,NA,TRUE,"Great Service & App","Monzo is a great service and app. In particular their support is excellent.",NA,75
"67","Femi Fasosin",NA,1,NA,2019-11-11,NA,TRUE,"Such a wonderful banking experience","Such a wonderful banking experience. No hassles.. Its absolutely great",NA,70
"68","Mir Wais","https://user-images.trustpilot.com/5dc932a96de4f576446756a8/73x73.png",1,NA,2019-11-11,2019-11-11,FALSE,"The worse bank ever...without warning…","The worse bank ever...without warning freezes your account for weeks..not being able to access your fund...what a rubbish bank...","Hi Mir, we can't give you any more information about your account here on Trustpilot. But here's some more information about why banks sometimes freeze or block accounts: https://monzo.com/blog/2019/04/04/why-we-block-freeze-close-monzo-accounts/",129
"69","Rio lee",NA,1,NA,2019-11-11,NA,TRUE,"Tbh monzo is really good","Tbh monzo is really good",NA,24
"70","Sophie",NA,3,NA,2019-11-11,2019-11-11,TRUE,"I don't like the new style of app tbh","I don't like the new style of app tbhAlso the account switch was a bit of a messGood customer care though","Hi Sophie, we're sorry to hear you're not a fan of our new look. If there's anything specific you think we should take another look us, drop us a message through the chat and we'll take a look. We're really keen to make sure we hear all the feedback we can!",105
"71","Celica Saxon",NA,1,NA,2019-11-11,NA,TRUE,"Everything you need In a reliable card.","Everything you need In a reliable card.",NA,39
"72","Clive T",NA,2,NA,2019-11-11,NA,TRUE,"For stress free, think Monzo.","I can not fault them, In any shape or form.  Monzo has made my life simpler, happier and is now my norm. To live my life is now stress free, because I have thee. Monzo, for seeing my world as life should be.  I thank thee.",NA,222
"73","kieron atkinson",NA,2,NA,2019-11-10,NA,TRUE,"Love monzo","Love monzo, such a transparent bank. Easy to use and keep track of all your cash flow",NA,85
"74","Maaz Bashier",NA,1,NA,2019-11-10,NA,TRUE,"Monzo give me a bit bility to start my…","Monzo give me a bit bility to start my own business live and I'm thinking to Growing Up and all that long to Manger and I'm pretty sure she ate it all the customer service thank you so much",NA,189
"75","TARARAG PINCAM",NA,1,NA,2019-11-10,NA,TRUE,"Very useful","It helps me manage my expense. Very useful.",NA,43
"76","Daniel Picksley",NA,4,NA,2019-11-10,NA,TRUE,"So I decided to use Monzo as a billing…","So I decided to use Monzo as a billing and Holiday account rather than a more traditional account without internet banking. It enables me to see exactly what is going in and out of the account before it even happens, so I can be sure there are sufficient funds available. I can see this all from my phone, enabling me to track exactly what I’m being by my suppliers.  The app is great clear and very easy to use.",NA,412
"77","Mo Gharib","https://user-images.trustpilot.com/5d8d35480ebe8c69721fd27d/73x73.png",4,NA,2019-11-10,NA,FALSE,"It’s been 13 weeks and my bro still…","It’s been 13 weeks and my bro still hasn’t received his funds after being told by monzo it’s been retunred to source..",NA,118
"78","Andrea",NA,9,NA,2019-11-10,NA,FALSE,"Good but worry about how long it will last?","Ok so Monzo is good, however I do think it’s more of a student account then a “proper bank“. Starling feels grown up and give an impression that they are professional and money is safe what you need from a bank. However Monzo? Well I worry about the companies confusing direction and struggle to reach profitability. For example Plus accounts are confusing, keep changing and frankly useless. Shows as a company they not sure what to do and they lack direction. This makes me question whilst they are getting customers how much money are they making? I want a bank to be trustworthy, safe and professional - Monzo doesn’t convince me of this. It is often to late by the time we here if a company goes into administration (not that they are, there is no immediate indication that they are at risk, so safe for least next few years I hope), I just hope that it’s not too late for Monzo to stick with a direction so I can feel safe that I can trust them as a “real bank”.Service is ok but until you can convince me my account is going to be closed like so many others report I just don’t trust you.",NA,1095
"79","Don C",NA,2,NA,2019-11-10,NA,TRUE,"Modern banking at its best.","Modern banking at its best.",NA,27
"80","Iain S",NA,1,NA,2019-11-10,NA,TRUE,"Great cash substitute","Easy to apply for and set up. Great for travel abroad. Really useful app. In short a brilliant cash substitute.",NA,111
"81","Scott Coley",NA,1,NA,2019-11-10,NA,TRUE,"Fantastic service and brilliant…","Fantastic service and brilliant customer focused support.",NA,57
"82","Janade Guiste",NA,2,NA,2019-11-10,NA,TRUE,"Best bank ever love everything about it","Best bank ever love everything about it",NA,39
"83","Sean Stringer",NA,1,NA,2019-11-10,NA,TRUE,"Very good card","Very good card, instant transfers, great for taking abroad.",NA,59
"84","Mihai Suciu",NA,1,NA,2019-11-10,NA,TRUE,"Best","Easy secure i would recomand this bank",NA,38
"85","Robert Jones",NA,5,NA,2019-11-09,NA,TRUE,"Perfect travelling companion","Perfect travelling companion",NA,28
"86","Vlad",NA,2,NA,2019-11-09,NA,FALSE,"Terrible bank","Terrible so called bank. Closed account without notice without even asking any questions. Be warned if you deal with cryptocurrency they will close your account.",NA,161
"87","Luke Davis",NA,1,NA,2019-11-09,NA,TRUE,"Great app","Great app, very helpful.",NA,24
"88","Suzanne Wilson",NA,1,NA,2019-11-09,NA,FALSE,"Mixed about this bank","Mixed about this bank. It is great for setting out money and management of money. However it is a royal pain attempting to set up new direct debits. It will tell you there is an error, wrong name or DOB. The chat is useless as even Monzo cannot answer why it is happening!",NA,272
"89","Mohammed Rahman",NA,1,NA,2019-11-09,NA,TRUE,"Had some fraud happen","Had some fraud happen, they have a guilty until proven innocent policy",NA,70
"90","Cmrenn",NA,1,NA,2019-11-09,NA,TRUE,"not reliable for all the services they…","not reliable for all the services they boast of",NA,47
"91","Charlotte Wilson",NA,1,NA,2019-11-08,NA,TRUE,"Monzo; like marmite... you either love it or hate it","I genuinely do not know why Monzo is so heavily criticised? Is it because it is a modern bank that is actually looking after it’s customer rather than holding onto it’s customer’s money and making additional money off them? Let’s look at the differences between the modern bank and high street banks:- not charged for taking out my money abroad- can make transactions abroad without being charged- receive my wages a day early- budgeting - online- freeze my card- accessible 24/7- easy to use - recognisable - sending transactions to others is simple- sharing payments - sending over details- interactive- create my own pinThat’s just off the top of my head! What is not to like?I absolutely love it!!",NA,701
"92","Carly",NA,1,NA,2019-11-08,NA,TRUE,"So easy to use and fast to resolve any…","So easy to use and fast to resolve any issues!",NA,46
"93","Shakira Rowe",NA,1,NA,2019-11-08,NA,TRUE,"Excellent bank","Excellent bank",NA,14
"94","Rebecca",NA,1,NA,2019-11-08,NA,TRUE,"Amazing bank","Amazing bank, so easy to use, get paid a day early, never had a problem since I joined!",NA,87
"95","Neil Erridge",NA,2,NA,2019-11-08,NA,TRUE,"Would not give overdraft although…","Would not give overdraft although Starling gave £1,000 when I opened both accounts on the same day, need to get their act together !",NA,132
"96","Conor Houlihan",NA,1,NA,2019-11-08,NA,TRUE,"Perfect","Perfect, couldn't recommend enough.",NA,35
"97","Rebecca Thomas",NA,1,NA,2019-11-08,NA,TRUE,"Love how it tracks your money","Love how it tracks your money",NA,29
"98","Sana Ahmad",NA,1,NA,2019-11-08,NA,TRUE,"One of the greatest no worries at all…","One of the greatest no worries at all easy to use",NA,49
"99","Nicholas Greaves",NA,1,NA,2019-11-08,NA,TRUE,"I love this app and bank","I love this app and bank.  It’s the quirky side of thinks like being able to divide savings into pots, set budgets and keep track of what your money goes on (eating out, entertainment, shopping) etc.  It has helped me crack down on the little things such as coffee that don’t cost much per item but over the course of a month it certainly adds up!  As a result I have more money to spend on the important things such as family days out as well as popping some away for that rainy day or projects.  Great stuff!",NA,510
"100","Hulvej Dora",NA,1,NA,2019-11-08,NA,FALSE,"Log in/ customer service","Basically, I have been emailing Monzo back and forth about me having troubles receiving the log in email. So I have contacted them, did everything they have asked me for, still nothing. They would come up with dumb solutions. They would make lies up, such as I can see the email went through. Like why would I lie ? And no, the email never came through. 4 weeks has gone since I still can’t get into my account. They have asked for my email and number but never called.",NA,469
"101","Olaide Ligali",NA,1,NA,2019-11-08,NA,TRUE,"Am  loving and enjoying Monzo","Am  loving and enjoying Monzo. It is so easy to manage my transaction, I can't stop loving Monzo",NA,96
"102","Kris Balram",NA,1,NA,2019-11-07,NA,TRUE,"Great Bank for everyday usage","Overseas rates are second to none , great customer support",NA,58
"103","Lisa",NA,3,NA,2019-11-07,NA,TRUE,"Excellent service when needed support","Excellent service when needed support. Great way to keep on top of spending and no concerns if card is lost/stolen as long as I have my phone I can freeze the card.",NA,164
"104","Renae",NA,1,NA,2019-11-07,NA,FALSE,"Zero protection","Be careful as Monzo provides zero protection  for fraud even since becoming a bank. I had an unrecognised payment of £100 from another country and Monzo told me it would take them 3 months to dispute it and they can’t reverse the payment.",NA,238
"105","Luke Didsbury",NA,1,NA,2019-11-07,NA,TRUE,"So easy to use","So easy to use! They've made banking really simple, especially compared to how I was doing it with my previous bank. Banking is no longer such a hassle!",NA,152
"106","Connor Aldred",NA,2,NA,2019-11-07,NA,TRUE,"Brilliant bank account","Brilliant bank account",NA,22
"107","Justin Peters",NA,1,NA,2019-11-07,NA,FALSE,"Monzo does not protect its customers, beware!","Two weeks ago I was robbed of my debit card where the perpetrator completely cleared my bill. Had good help from Monzo with blocking my account but then it became completely different.I was soon told that they couldn't do anything for me since they didn't have enough evidence that someone else cleared my bill. So they accuse me of clearing my own account?After providing sufficient evidence, which clearly shows that I was not the one who cleared my bill, they indicated that they would reopen the investigation. I wonder if they actually did this, since I soon got the message that they didn't have enough evidence to do something for me. Besides that, they also blocked my account and threw me out of the app. As if I have not been punished enough after they have stolen all my money.I have already called in the Ombudsman and the FCA and have already been reported to the police. Hopefully I hear from Monzo this week because otherwise I will go to court with it.Monzo is therefore definitely not recommended when you want your bank to protect you as a customer!",NA,1067
"108","Omar Faddali",NA,1,NA,2019-11-07,NA,TRUE,"Really helpful thanks","Really helpful thanks",NA,21
"109","Tom Dives",NA,1,NA,2019-11-07,NA,TRUE,"Tested out as a second current account","Tested out as a second current account, happy with how things were going and since did a current account switch and now it's my only account.On occasion things arent perfect, but a quick chat to an advisor and it's sorted.Very impressed, looking forward to what's to come 5/5",NA,275
"110","Toki Hossoin",NA,1,NA,2019-11-07,NA,TRUE,"Love the pots","Love the pots",NA,13
"111","Sophie Thompson",NA,1,NA,2019-11-07,NA,TRUE,"So easy to track what you spend and v…","So easy to track what you spend and v easy to send money to people as well!",NA,75
"112","Chloé",NA,2,NA,2019-11-07,NA,TRUE,"Love it, some issues","I enjoy the saving pots, the notifications every time I pay and how easy it is to track your spending. However, some payments take some time to come out of your bank and it does not have a current and available balance so it’s difficult to know how much money you really have.",NA,276
"113","Linky",NA,2,NA,2019-11-07,NA,TRUE,"Makes budgeting much easier","Makes budgeting much easier and love the way the expenditure is categorised.",NA,76
"114","Louis Ward",NA,1,NA,2019-11-07,NA,TRUE,"Great card great support","Great card great support. Recommend alor",NA,40
"115","elemental",NA,9,NA,2019-11-07,NA,FALSE,"Excellent","Everything is much simpler that traditional banks and there are some great additional features, particularly bill splitting and shared tabs (great for group holidays). Spending abroad is cheap also.",NA,198
"116","Lizzie",NA,1,NA,2019-11-07,NA,FALSE,"Swapped to monzo from Santander after a…","Swapped to monzo from Santander after a cheque went missing, monzo is fantastic, quick customer service no sitting on the phone for hours on hold, get paid early is a fantastic feature too! Can’t wait to see what happens in the future! Also saving is super easy",NA,261
"117","Ross Adams","https://user-images.trustpilot.com/50cb616000006400012a3644/73x73.png",17,NA,2019-11-06,NA,FALSE,"who wants to leave your money when they cant do basic ADD money from bank lol","OK update the chat service helped a lot but its clear the app is a little confusing when adding funds via bank account. its not the same as adding funds via paypal or via another debit card so be warned but the chat service was good. If you need to send a photo to them it can display ERROR , CLCIK SEND AGAIN so click it again and it uploads the image example you want to show.  I tried to reset my password and the online version says no such account, yet I can work the app reports my email as same but allows me in so PC version is not working correctly between Phone app . Also when i go to add money it says I can only add money from salary which i don't want.I want to add money from another credit cart or via my other bank.I then tried the so-called help option, it took me to help that was not relevant so I clicked ""this did not answer my question"" it then gave me a chat like email option to send a question to the Monzo team.I entered my question why I could not add money then took some screenshots and clicked add photo from my phones gallery and app says failed. I gave upNot sure why I should do you web dev checking for you but.. After checking again I can see it  looks like your Monzo PC version when clicking on LOGIN it takes me to the community link and that is why my Monzo bank  account email   could not be recognised by the database . Its extremely confusing and your IT Web dev staff need a kick. I think to separate the community monzo link out when one does a google search for Monzo login on a PC . Dont mix up the two log in urls  on same google results. Also when I do try to login to monzo on PC version it reports emergency only usage. my god what a mess",NA,1689
"118","Bethany Halliday",NA,1,NA,2019-11-06,NA,TRUE,"I have so far had a great experience…","I have so far had a great experience with Monzo.The flexibility between the pots, the availability to be paid a day early really makes all the difference! Thank you for making banking bearable again!!",NA,200
"119","Liam Wilkinson King",NA,1,NA,2019-11-06,NA,TRUE,"Fantastic","Fantastic. The only problems I ever have are when I do something wrong. The online chat is superb. Faultless.",NA,109
"120","Scott Forehead",NA,1,NA,2019-11-06,NA,TRUE,"Pots are a great idea...","The first bank account I've had in a few years and I must say they are excellent. I would recommend Monzo to anyone. The pots are a great addition to any bank account. The day I get paid (a day early now) I put money in a pot, and it keeps it safe from me spending it.",NA,268
"121","Isaac Peachey",NA,1,NA,2019-11-06,NA,FALSE,"They used to be great","I used Monzo for just over a year. I had no problems with them at all until recently and recommended them to everyone, I even bought a few shares during crowdfunding last year. About a month ago now my account was frozen and they wouldn’t tell me why. A few days later they said that my account was being closed and requested details for another account in my name to transfer my funds. This was a day or two after the Watchdog episode came out so I didn’t really ask questions and just gave them the details, asking what would happen to my shares as well as they’re linked to my account. Since then I’ve had emails from at least 3 different people, at least one of those emails being an exact copy of the first one they sent me, word for word. I now haven’t heard anything at all for a week and a half and off of my money is still stuck in that account. Really not happy with the way this has been handled at all, I still haven’t even been told what will happen to my shares. Recently I opened an account with Starling instead and have had no problems with them, so I suggest creating an account with them instead.",NA,1115
"122","Simba Kugz",NA,2,NA,2019-11-06,NA,FALSE,"ACCONT CLOSED WITHOUT REASON - Still waiting on my funds.","I had an account with Monzo for a while until one day they just decided to close my account without any reasoning. I requested if they can run a fraud test, but they refused.  It’s been over six weeks and I still haven’t received the thousands I had saved up in my account.",NA,273
"123","Hannah",NA,1,NA,2019-11-06,NA,TRUE,"I think Monzo is a great app but I must…","I think Monzo is a great app but I must say I'm not loving the new layout and the branding switches between old and new as you navigate through the app which feels a little strange. At first I found the pots layout confusing but its grown on me and it's easy to transfer between.",NA,279
"124","Artūrs Vancāns","https://user-images.trustpilot.com/5cdd65c500f3b517b2d4f8b2/73x73.png",4,NA,2019-11-06,NA,FALSE,"Simple","Simple, transparent and modern bank tailored for our digital times.",NA,67
"125","Luke",NA,1,NA,2019-11-06,NA,TRUE,"What can I say about Monzo apart from…","What can I say about Monzo apart from they are great. Friendly staff, always helpful and great features.",NA,104
